country_name,region_name,harvest_period,growing_season_year,date_on,climate_risk_cnt_locations_heat_stress_risk_low,climate_risk_cnt_locations_heat_stress_risk_medium,climate_risk_cnt_locations_heat_stress_risk_high,climate_risk_cnt_locations_unseasonably_cold_risk_low,climate_risk_cnt_locations_unseasonably_cold_risk_medium,climate_risk_cnt_locations_unseasonably_cold_risk_high,climate_risk_cnt_locations_excess_precip_risk_low,climate_risk_cnt_locations_excess_precip_risk_medium,climate_risk_cnt_locations_excess_precip_risk_high,climate_risk_cnt_locations_drought_risk_low,climate_risk_cnt_locations_drought_risk_medium,climate_risk_cnt_locations_drought_risk_high,futures_close_ZC_1,futures_close_ZC_2,futures_close_ZW_1,futures_close_ZS_1,futures_zc1_ret_pct,futures_zc1_ret_log,futures_zc_term_spread,futures_zc_term_ratio,futures_zc1_ma_20,futures_zc1_ma_60,futures_zc1_ma_120,futures_zc1_vol_20,futures_zc1_vol_60,futures_zw_zc_spread,futures_zc_zw_ratio,futures_zs_zc_spread,futures_zc_zs_ratio,date_on_year,date_on_month,date_on_year_month,hemisphere,koppen,categorical_harvest_period
United States,Nebraska,Off-season,2016,2016-01-16,29,0,0,1,2,26,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-17,29,0,0,1,0,28,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-18,29,0,0,1,0,28,29,0,0,28,1,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-19,29,0,0,1,2,26,29,0,0,29,0,0,367.75,372.0,474.5,883.5,0.0123881624225739,0.0123120570311545,4.25,1.0115567641060503,360.3625,367.2083333333333,370.81041666666664,0.0098412622481394,0.0110273735312432,106.75,0.7750263435194942,515.75,0.4162422184493491,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-20,29,0,0,1,6,22,29,0,0,29,0,0,368.75,373.25,471.5,874.0,0.0027192386131882,0.0027155481724827,4.5,1.0122033898305085,360.075,367.05,370.81875,0.0098683419316432,0.0110062051046291,102.75,0.7820784729586426,505.25,0.4219107551487414,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-21,29,0,0,1,27,1,29,0,0,29,0,0,367.0,371.75,475.0,878.5,-0.0047457627118644,-0.0047570595994592,4.75,1.012942779291553,359.825,366.8375,370.76666666666665,0.0098164149097962,0.0110055788515898,108.0,0.7726315789473684,511.5,0.4177575412635174,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-22,29,0,0,1,0,28,29,0,0,29,0,0,370.25,374.75,475.5,876.5,0.0088555858310626,0.0088166050933375,4.5,1.012153950033761,360.025,366.6,370.7604166666667,0.0093793839255578,0.0109422718963386,105.25,0.7786540483701367,506.25,0.4224187107815174,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-23,29,0,0,29,0,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-24,29,0,0,1,13,15,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-25,29,0,0,29,0,0,29,0,0,29,0,0,369.75,374.75,481.5,880.5,-0.00135043889264,-0.0013513515569991,5.0,1.013522650439486,360.2375,366.4291666666667,370.7875,0.009370372976936,0.0108449298139043,111.75,0.7679127725856698,510.75,0.4199318568994889,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-26,29,0,0,28,0,1,29,0,0,29,0,0,369.25,374.5,484.75,876.5,-0.0013522650439485,-0.0013531801794197,5.25,1.014218009478673,360.475,366.31666666666666,370.7916666666667,0.0093493749404263,0.0107640776435294,115.5,0.7617328519855595,507.25,0.4212778094694809,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-27,29,0,0,29,0,0,29,0,0,29,0,0,369.25,374.5,476.5,883.0,0.0,0.0,5.25,1.014218009478673,360.8875,366.1375,370.7625,0.0090343143023767,0.0106689707467402,107.25,0.7749213011542497,513.75,0.4181766704416761,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-28,29,0,0,29,0,0,29,0,0,29,0,0,365.5,370.5,472.25,867.75,-0.010155721056195,-0.0102076422216557,5.0,1.0136798905608757,361.0375,365.85833333333335,370.7270833333333,0.0093467093788981,0.0107087721494211,106.75,0.7739544732662784,502.25,0.4212042639008931,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-29,29,0,0,29,0,0,29,0,0,29,0,0,372.0,376.75,479.25,882.25,0.0177838577291382,0.0176275750833125,4.75,1.012768817204301,361.6875,365.78333333333336,370.72083333333336,0.0097881666279857,0.0108012246437729,107.25,0.7762128325508607,510.25,0.4216491924057807,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-30,29,0,0,29,0,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-01-31,29,0,0,7,22,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,1,2016_01,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-01,29,0,0,1,27,1,26,3,0,29,0,0,371.25,375.75,475.25,880.75,-0.0020161290322581,-0.0020181641562366,4.5,1.0121212121212122,362.3125,365.62916666666666,370.5625,0.0098104873945734,0.0107105497723375,104.0,0.7811678064176749,509.5,0.4215157536190747,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-02,29,0,0,29,0,0,23,6,0,29,0,0,372.5,377.5,475.25,886.25,0.0033670033670034,0.0033613477027047,5.0,1.0134228187919463,363.3625,365.49583333333334,370.52916666666664,0.0083377154961177,0.0107212489077333,102.75,0.7837980010520779,513.75,0.4203102961918195,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-03,29,0,0,27,2,0,23,6,0,29,0,0,371.0,376.0,480.0,876.75,-0.0040268456375839,-0.0040349752121793,5.0,1.013477088948787,364.2625,365.4375,370.64375,0.0084733110733781,0.0105396877678031,109.0,0.7729166666666667,505.75,0.4231536926147705,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-04,29,0,0,18,11,0,26,3,0,29,0,0,368.5,373.5,472.75,874.5,-0.0067385444743934,-0.0067613509780439,5.0,1.0135685210312075,365.025,365.3625,370.68333333333334,0.0087173904009871,0.0105627266707193,104.25,0.7794817556848228,506.0,0.4213836477987421,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-05,29,0,0,25,3,1,26,3,0,29,0,0,365.75,370.75,466.75,867.5,-0.0074626865671642,-0.0074906717291574,5.0,1.0136705399863295,365.6625,365.34583333333336,370.6979166666667,0.0089614394051918,0.0103816382579322,101.0,0.7836100696304231,501.75,0.4216138328530259,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-06,29,0,0,29,0,0,27,2,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-07,29,0,0,29,0,0,27,2,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-08,29,0,0,28,0,1,29,0,0,29,0,0,362.25,367.0,458.5,862.5,-0.0095693779904306,-0.0096154586994421,4.75,1.013112491373361,365.925,365.4,370.68958333333336,0.0090116473455118,0.0100856950571952,96.25,0.7900763358778626,500.25,0.42,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-09,29,0,0,29,0,0,29,0,0,29,0,0,361.0,366.0,457.5,863.25,-0.0034506556245686,-0.0034566228679109,5.0,1.0138504155124657,366.3875,365.37916666666666,370.6458333333333,0.0083192636177583,0.0100286940358078,96.5,0.7890710382513662,502.25,0.4181870836953374,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-10,29,0,0,29,0,0,29,0,0,29,0,0,360.25,365.25,461.25,862.25,-0.0020775623268698,-0.0020797234532494,5.0,1.013879250520472,366.5625,365.35,370.5875,0.0077709489318483,0.0100318922801258,101.0,0.781029810298103,502.0,0.4178022615250797,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-11,29,0,0,29,0,0,29,0,0,29,0,0,360.25,365.0,458.25,873.5,0.0,0.0,4.75,1.0131852879944483,366.675,365.3833333333333,370.49791666666664,0.0077394961738251,0.0099398534229825,98.0,0.7861429350791053,513.25,0.4124212936462507,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-12,29,0,0,21,8,0,29,0,0,29,0,0,358.75,363.5,457.5,872.75,-0.0041637751561415,-0.0041724678057999,4.75,1.0132404181184669,366.7125,365.3625,370.44375,0.0078048950871863,0.0099353077683464,98.75,0.7841530054644809,514.0,0.4110570037238613,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-13,29,0,0,15,14,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-14,29,0,0,29,0,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-15,29,0,0,29,0,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-16,29,0,0,29,0,0,28,1,0,29,0,0,363.0,367.75,464.25,879.75,0.0118466898954703,0.0117770671910193,4.75,1.013085399449036,366.7,365.37916666666666,370.3958333333333,0.0075500225345825,0.0100277992039754,101.25,0.7819063004846527,516.75,0.412617220801364,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-17,29,0,0,29,0,0,27,2,0,29,0,0,367.25,371.5,468.5,882.5,0.0117079889807163,0.0116399807891358,4.25,1.011572498298162,366.675,365.47083333333336,370.41041666666666,0.0074925616487621,0.0101384649563907,101.25,0.7838847385272145,515.25,0.4161473087818697,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-18,29,0,0,29,0,0,29,0,0,29,0,0,365.5,369.75,462.25,879.75,-0.0047651463580666,-0.0047765358641527,4.25,1.0116279069767442,366.5125,365.4916666666667,370.44166666666666,0.0075342094421501,0.0101215065973456,96.75,0.7906976744186046,514.25,0.4154589371980676,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-19,29,0,0,29,0,0,29,0,0,29,0,0,365.5,369.25,461.75,878.25,0.0,0.0,3.75,1.0102599179206566,366.4375,365.52916666666664,370.45625,0.0074650733230779,0.0101145942513128,96.25,0.7915538711423931,512.75,0.4161685169370908,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-20,29,0,0,29,0,0,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-21,29,0,0,29,0,0,28,1,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-22,29,0,0,29,0,0,29,0,0,29,0,0,367.5,372.25,458.5,881.0,0.0054719562243501,0.0054570394630575,4.75,1.0129251700680273,366.3,365.53333333333336,370.4916666666667,0.0072857476049417,0.0100387952320833,91.0,0.8015267175572519,513.5,0.4171396140749148,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-23,29,0,0,29,0,0,29,0,0,29,0,0,362.0,366.75,448.0,869.25,-0.0149659863945578,-0.0150791068271196,4.75,1.013121546961326,365.9125,365.49583333333334,370.4770833333333,0.0079867755736499,0.0101707259918484,86.0,0.8080357142857143,507.25,0.4164509634742594,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-24,29,0,0,29,0,0,29,0,0,29,0,0,359.75,364.5,442.75,867.5,-0.0062154696132596,-0.0062348660582944,4.75,1.0132036136205698,365.4375,365.39166666666665,370.5083333333333,0.0080707455835108,0.0101810292866652,83.0,0.8125352907961604,507.75,0.4146974063400576,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-25,29,0,0,29,0,0,29,0,0,29,0,0,355.5,360.5,445.25,859.0,-0.0118137595552466,-0.0118840965241817,5.0,1.0140646976090013,364.75,365.32916666666665,370.5208333333333,0.0083984508359175,0.010014717610006,89.75,0.79842784952274,503.5,0.4138533178114086,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-26,29,0,0,29,0,0,28,1,0,29,0,0,354.5,359.5,443.25,855.0,-0.0028129395218002,-0.0028169032711131,5.0,1.0141043723554302,364.2,365.15416666666664,370.57708333333335,0.0081743220051684,0.0097931888480666,88.75,0.7997743936830232,500.5,0.4146198830409356,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-27,29,0,0,2,0,27,29,0,0,29,0,0,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-28,29,0,0,29,0,0,29,0,0,25,1,3,,,,,,,,,,,,,,,,,,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-02-29,29,0,0,29,0,0,29,0,0,25,1,3,353.5,357.0,445.0,853.0,-0.002820874471086,-0.0028248606355543,3.5,1.00990099009901,363.275,364.9291666666667,370.61041666666665,0.0067994746518092,0.0097667544803539,91.5,0.7943820224719101,499.5,0.4144196951934349,2016,2,2016_02,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-01,29,0,0,29,0,0,29,0,0,25,2,2,353.75,355.75,438.5,850.75,0.0007072135785006,0.0007069636208196,2.0,1.0056537102473495,362.4,364.7583333333333,370.6,0.0068373715540678,0.0097168417145804,84.75,0.80672748004561,497.0,0.4158095797825448,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-02,29,0,0,25,4,0,29,0,0,25,1,3,354.5,356.25,442.75,854.25,0.0021201413427562,0.0021178970147346,1.75,1.004936530324401,361.5,364.49583333333334,370.5833333333333,0.0067876282488838,0.0094452706331643,88.25,0.8006775832862789,499.75,0.4149839040093649,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-03,29,0,0,29,0,0,29,0,0,17,9,3,353.75,356.5,453.25,856.25,-0.0021156558533145,-0.0021178970147346,2.75,1.007773851590106,360.6375,364.12083333333334,370.51666666666665,0.006777728321249,0.0091826265113552,99.5,0.7804743519029234,502.5,0.4131386861313869,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-04,29,0,0,29,0,0,29,0,0,17,8,4,354.5,358.25,454.75,870.5,0.0021201413427562,0.0021178970147346,3.75,1.0105782792665727,359.9375,363.8875,370.35,0.0067656966566769,0.0088215054403822,100.25,0.7795492028587135,516.0,0.4072372199885123,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-05,29,0,0,26,3,0,29,0,0,17,10,2,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-06,29,0,0,29,0,0,29,0,0,21,6,2,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-07,29,0,0,29,0,0,29,0,0,19,8,2,355.0,359.0,457.75,873.5,0.001410437235543,0.0014094435032339,4.0,1.0112676056338028,359.4,363.6375,370.02916666666664,0.0066729136571817,0.0088042659367666,102.75,0.7755324959038776,518.5,0.4064109902690326,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-08,29,0,0,29,0,0,29,0,0,19,7,3,358.75,360.5,461.25,877.5,0.0105633802816902,0.0105079775984151,1.75,1.0048780487804878,359.225,363.42083333333335,369.76458333333335,0.0069013224031297,0.0088964268827582,102.5,0.7777777777777778,518.75,0.4088319088319088,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-09,29,0,0,28,1,0,29,0,0,18,9,2,359.0,359.5,463.75,880.0,0.0006968641114981,0.0006966214144474,0.5,1.001392757660167,359.125,363.1166666666667,369.5395833333333,0.0068690508423117,0.0086673919901109,104.75,0.7741239892183288,521.0,0.4079545454545454,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-10,29,0,0,29,0,0,29,0,0,20,8,1,362.5,362.75,471.5,881.75,0.0097493036211699,0.0097020858064507,0.25,1.0006896551724138,359.2375,362.94166666666666,369.3958333333333,0.0072047917792791,0.0086614635410985,109.0,0.7688229056203606,519.25,0.4111142614119648,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-11,29,0,0,29,0,0,29,0,0,21,6,2,366.0,365.0,469.75,888.0,0.0096551724137932,0.0096088591066365,-1.0,0.9972677595628416,359.525,362.725,369.3020833333333,0.007498575077686,0.0084916429742715,103.75,0.7791378392762107,522.0,0.4121621621621621,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-12,29,0,0,29,0,0,29,0,0,22,5,2,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-13,29,0,0,29,0,0,29,0,0,24,5,0,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-14,29,0,0,29,0,0,29,0,0,24,5,0,368.75,373.5,478.75,895.75,0.0075136612021857,0.007485574252664,4.75,1.0128813559322034,360.025,362.5833333333333,369.17083333333335,0.0075446784740989,0.0085373579950435,110.0,0.7702349869451697,527.0,0.4116662015071169,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-15,29,0,0,29,0,0,29,0,0,29,0,0,368.5,373.5,477.25,892.0,-0.0006779661016949,-0.0006781960246389,5.0,1.0135685210312075,360.3,362.5625,369.0708333333333,0.0071411671030358,0.0081433970512718,108.75,0.7721320062860136,523.5,0.4131165919282511,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-16,29,0,0,29,0,0,29,0,0,26,3,0,368.25,373.25,470.75,894.5,-0.0006784260515604,-0.0006786562866514,5.0,1.0135777325186694,360.35,362.4625,368.9458333333333,0.006664419959105,0.0079846868093791,102.5,0.7822623473181094,526.25,0.4116825041922862,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-17,29,0,0,20,7,2,29,0,0,22,7,0,368.5,373.0,462.5,897.75,0.0006788866259335,0.0006786562866514,4.5,1.012211668928087,360.5,362.3625,368.8375,0.0065632037504518,0.0079847078641521,94.0,0.7967567567567567,529.25,0.4104706209969367,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-18,29,0,0,11,18,0,29,0,0,25,4,0,367.0,371.75,463.0,897.5,-0.0040705563093622,-0.0040788635748203,4.75,1.012942779291553,360.575,362.27916666666664,368.65416666666664,0.0066398842552726,0.0079561404157971,96.0,0.7926565874730022,530.5,0.4089136490250696,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-19,29,0,0,19,9,1,29,0,0,22,6,1,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-20,29,0,0,1,19,9,29,0,0,20,7,2,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-21,29,0,0,27,2,0,29,0,0,17,9,3,369.5,374.25,466.5,902.0,0.0068119891008173,0.0067888923336854,4.75,1.0128552097428958,360.675,362.3333333333333,368.5104166666667,0.0067020782583972,0.0077487961559879,97.0,0.7920685959271169,532.5,0.4096452328159645,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-22,29,0,0,29,0,0,29,0,0,16,9,4,370.0,374.75,466.75,910.25,0.0013531799729364,0.0013522652500137,4.75,1.0128378378378378,361.075,362.40833333333336,368.3520833333333,0.0056587985219183,0.0077446856287092,96.75,0.7927155865024103,540.25,0.4064817357868717,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-23,29,0,0,29,0,0,29,0,0,21,5,3,368.5,373.25,463.0,905.25,-0.004054054054054,-0.0040622940088788,4.75,1.012890094979647,361.5125,362.475,368.19166666666666,0.0055307505925032,0.0077551135949414,94.5,0.7958963282937365,536.75,0.4070698702016018,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-24,29,0,0,29,0,0,29,0,0,25,3,1,370.0,374.5,463.0,910.5,0.0040705563093623,0.0040622940088788,4.5,1.012162162162162,362.2375,362.625,368.03541666666666,0.0046278759922187,0.0076621828221689,93.0,0.7991360691144709,540.5,0.4063701263042284,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-25,29,0,0,29,0,0,29,0,0,23,5,1,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-26,29,0,0,29,0,0,29,0,0,19,7,3,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-27,29,0,0,28,1,0,29,0,0,15,11,3,,,,,,,,,,,,,,,,,,2016,3,2016_03,N_2,Dfa,0
United States,Nebraska,Off-season,2016,2016-03-28,29,0,0,29,0,0,29,0,0,18,8,3,370.5,374.75,471.0,909.0,0.0013513513513514,0.0013504390978713,4.25,1.0114709851551955,363.0375,362.7583333333333,367.87916666666666,0.0044910728779823,0.00764767333697,100.5,0.7866242038216561,538.5,0.4075907590759076,2016,3,2016_03,N_2,Dfa,0
